======================================================================
SAS AUDIT LOG - 2026-07-27
======================================================================
One row records one SAS action. Passwords and secret values are never written to this file.

TIME     | ACTOR                | ACTION                       | DETAILS
12:25:49 | NOT_AUTHENTICATED    | UNLOCKED                     | Method: Emergency Hotkey · Workstation user: 4372447 · Access: Desktop only · Confidence: —
12:29:35 | 4372447              | UNLOCKED                     | Method: FACE_RECOGNITION_WEBSOCKET · Confidence: 41.9% · Pi host: JEFACEDESKTOP · Event Id: 4065797e-7b9f-414d-a093-b17437e786ce
12:29:42 | 4372447              | UNLOCKED                     | Method: FACE_RECOGNITION_WEBSOCKET · Confidence: 44.4% · Pi host: JEFACEDESKTOP · Event Id: 40257a95-ceae-4d07-b40f-eb32f89ea92a
12:29:49 | 4372447              | UNLOCKED                     | Method: FACE_RECOGNITION_WEBSOCKET · Confidence: 48.3% · Pi host: JEFACEDESKTOP · Event Id: 418cb01c-3a69-48a6-b0aa-e8f1c3567037
12:30:58 | 4372447              | UNLOCKED                     | Method: FACE_RECOGNITION_WEBSOCKET · Confidence: 69.0% · Pi host: JEFACEDESKTOP · Event Id: 8e8b5d29-ed39-479f-8449-dcf26793f708
12:31:52 | 4372447              | UNLOCKED                     | Method: FACE_RECOGNITION_WEBSOCKET · Confidence: 57.1% · Pi host: JEFACEDESKTOP · Event Id: 8c35eacd-5ce5-43cd-9bb7-5f2d16bc4836
12:32:56 | 4372447              | UNLOCKED                     | Method: FACE_RECOGNITION_WEBSOCKET · Confidence: 76.0% · Pi host: JEFACEDESKTOP · Event Id: ff4e5280-5d4d-4bf7-99fe-c474776fa0f1
12:33:32 | MANUAL               | UNLOCKED                     | Method: Manual
12:34:19 | ADMIN                | LOGIN SUCCESS                | Role: Admin · Method: Built-in Local Admin
12:34:20 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
12:34:28 | ADMIN                | SETTINGS SAVED               | Server path: \\mypenm0vdspc16\internship\Gary LIm\SAS_finaltest · Pi host: JEFACEDESKTOP · Inactivity lock: 00:05 → 00:10 · Disabled while locked: Keyboard · Auto capture: Disabled · Camera rotation: 180°
12:35:52 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
12:35:54 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Face Recognition
12:35:58 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
12:36:50 | NOT_AUTHENTICATED    | UNLOCKED                     | Method: Emergency Hotkey · Workstation user: 4372447 · Access: Desktop only · Confidence: —
12:41:52 | 4372447              | UNLOCKED                     | Method: FACE_RECOGNITION_WEBSOCKET · Confidence: 42.4% · Pi host: JEFACEDESKTOP · Event Id: bb54606a-91ef-4508-8620-edb194bc735a
12:44:12 | ADMIN                | LOGIN SUCCESS                | Role: Admin · Method: Built-in Local Admin
12:44:12 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Face Recognition
12:44:39 | ADMIN                | FACE USER REGISTERED         | Name: Gary · Employee Id: 4372447 · Samples: 3 · Model: InsightFace buffalo_s
12:45:03 | ADMIN                | FACE USER REGISTRATION FAILED | Name: Gary · Employee Id: 4372447 · Result: Failed
12:45:14 | ADMIN                | FACE USER REGISTERED         | Name: Gary · Employee Id: 4372447 · Samples: 4 · Model: InsightFace buffalo_s
12:45:37 | 4372447              | UNLOCKED                     | Method: FACE_RECOGNITION_WEBSOCKET · Confidence: 43.3% · Pi host: JEFACEDESKTOP · Event Id: a9c46f87-e9cc-44e3-a069-c8b63502956c
12:45:49 | 4372447              | UNLOCKED                     | Method: FACE_RECOGNITION_WEBSOCKET · Confidence: 44.9% · Pi host: JEFACEDESKTOP · Event Id: 6a2ae451-b7f5-4674-b6b4-1830b75a7149
12:46:18 | ADMIN                | FACE USER REGISTERED         | Name: g · Employee Id: 4372447 · Samples: 5 · Model: InsightFace buffalo_s
12:46:41 | 4372447              | UNLOCKED                     | Method: FACE_RECOGNITION_WEBSOCKET · Confidence: 53.1% · Pi host: JEFACEDESKTOP · Event Id: 12d45a60-d155-4404-9f55-702202bebd4a
